time,temp_mean,temp_median,temp_max,temp_p75
2012-01-05-01,-28.495784759521484,-28.460845947265625,-25.127838134765625,-27.895416259765625
2012-01-05-02,-28.69485092163086,-28.649658203125,-25.647216796875,-27.8558349609375
2012-01-05-03,-28.74571418762207,-29.392837524414062,-25.156509399414062,-26.806411743164062
2012-01-05-04,-28.528188705444336,-29.050323486328125,-24.515411376953125,-25.799102783203125
2012-01-05-05,-28.61606216430664,-29.414077758789062,-24.270034790039062,-25.565567016601562
2012-01-05-06,-29.03818130493164,-29.7713623046875,-24.5755615234375,-25.9581298828125
2012-01-05-07,-29.104692459106445,-29.935882568359375,-24.316009521484375,-26.266204833984375
2012-01-05-08,-29.21086883544922,-30.063491821289062,-24.206069946289062,-26.810562133789062
2012-01-05-09,-29.154510498046875,-29.618743896484375,-24.782073974609375,-27.452606201171875
2012-01-05-10,-29.573373794555664,-30.007049560546875,-24.539764404296875,-27.144256591796875
2012-01-05-11,-29.36766242980957,-29.4630126953125,-24.4757080078125,-27.4859619140625
2012-01-05-12,-30.21286392211914,-30.19287109375,-26.5126953125,-28.502197265625
2012-01-05-13,-31.006805419921875,-30.463470458984375,-27.794769287109375,-29.613372802734375
2012-01-05-14,-31.45208740234375,-30.846755981445312,-27.936843872070312,-29.997634887695312
2012-01-05-15,-31.384429931640625,-31.326446533203125,-28.183380126953125,-29.440093994140625
2012-01-05-16,-31.80751609802246,-31.75909423828125,-29.20062255859375,-29.37493896484375
2012-01-05-17,-31.78360939025879,-31.868408203125,-29.046875,-29.423828125
2012-01-05-18,-31.12189483642578,-32.01060485839844,-27.043685913085938,-28.069198608398438
2012-01-05-19,-31.46938133239746,-33.28385925292969,-26.663986206054688,-27.675460815429688
2012-01-05-20,-30.11716079711914,-32.14805603027344,-24.648056030273438,-25.285018920898438
2012-01-05-21,-29.81100082397461,-32.05155944824219,-23.334030151367188,-24.557174682617188
2012-01-05-22,-27.141082763671875,-28.376678466796875,-19.858367919921875,-21.287567138671875
2012-01-05-23,-26.293865203857422,-27.253311157226562,-18.953506469726562,-21.047988891601562
2012-01-06-00,-25.882530212402344,-26.400787353515625,-19.150299072265625,-21.483551025390625
2012-01-06-01,-25.540847778320312,-25.459548950195312,-19.263504028320312,-21.982986450195312
2012-01-06-02,-24.69603729248047,-24.679977416992188,-18.288375854492188,-21.104782104492188
2012-01-06-03,-24.544044494628906,-24.338912963867188,-17.132598876953125,-21.075973510742188
2012-01-06-04,-23.706905364990234,-23.683303833007812,-16.052947998046875,-20.504104614257812
2012-01-06-05,-22.970197677612305,-23.046585083007812,-14.777069091796875,-19.948196411132812
2012-01-06-06,-23.852670669555664,-23.339462280273438,-16.360198974609375,-21.244491577148438
2012-01-06-07,-24.006601333618164,-22.669174194335938,-16.968231201171875,-21.589584350585938
2012-01-06-08,-24.693470001220703,-22.616592407226562,-18.005752563476562,-22.152236938476562
2012-01-06-09,-24.92051124572754,-22.46673583984375,-18.22406005859375,-21.79583740234375
2012-01-06-10,-24.938461303710938,-23.370834350585938,-19.945785522460938,-21.721908569335938
2012-01-06-11,-25.096446990966797,-23.406234741210938,-21.092025756835938,-22.131820678710938
2012-01-06-12,-25.081863403320312,-23.265457153320312,-21.111648559570312,-22.100173950195312
2012-01-06-13,-25.406784057617188,-24.140914916992188,-21.950851440429688,-23.213180541992188
2012-01-06-14,-25.099472045898438,-24.193222045898438,-22.168685913085938,-23.722152709960938
2012-01-06-15,-25.074745178222656,-25.051986694335938,-23.100570678710938,-24.551376342773438
2012-01-06-16,-24.9514102935791,-24.867507934570312,-23.432266235351562,-24.481033325195312
2012-01-06-17,-24.806880950927734,-25.065155029296875,-23.475250244140625,-24.105682373046875
2012-01-06-18,-24.99799346923828,-25.04193115234375,-23.53668212890625,-24.14691162109375
2012-01-06-19,-24.925085067749023,-24.884719848632812,-23.119522094726562,-23.531814575195312
2012-01-06-20,-24.637447357177734,-24.580169677734375,-22.420257568359375,-23.313079833984375
2012-01-06-21,-24.725482940673828,-24.068649291992188,-22.156051635742188,-23.146774291992188
2012-01-06-22,-24.426071166992188,-24.012741088867188,-21.250167846679688,-23.139328002929688
2012-01-06-23,-24.105693817138672,-23.972854614257812,-20.506668090820312,-22.857498168945312
2012-01-07-00,-24.641990661621094,-25.031692504882812,-20.772903442382812,-23.392410278320312
2012-01-07-01,-25.76484489440918,-25.95355224609375,-21.81512451171875,-24.61175537109375
2012-01-07-02,-26.500186920166016,-26.353363037109375,-22.528656005859375,-25.274261474609375
2012-01-07-03,-29.24540138244629,-29.1646728515625,-25.18359375,-27.7607421875
2012-01-07-04,-30.15179443359375,-30.198532104492188,-26.417648315429688,-28.602340698242188
2012-01-07-05,-30.8636474609375,-32.46519470214844,-26.773666381835938,-28.790390014648438
2012-01-07-06,-31.315982818603516,-32.818450927734375,-27.781585693359375,-29.076385498046875
2012-01-07-07,-31.76744842529297,-33.31681823730469,-28.173873901367188,-29.591598510742188
