time,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1
2017-01-05-13,0.38893145891366515,0.36050111055374146,0.8076849579811096,0.5536648631095886,0.7777777777777778
2017-01-05-14,0.3357713824017562,0.2778588831424713,0.8147477507591248,0.47188690304756165,0.7777777777777778
2017-01-05-15,0.27803095969217423,0.28503531217575073,0.6131588816642761,0.47940605878829956,0.6666666666666666
2017-01-05-16,0.16019390330114397,0.19052374362945557,0.3360484838485718,0.25668489933013916,0.6666666666666666
2017-01-05-17,0.08955322714026535,0.10866518318653107,0.15338727831840515,0.13742440938949585,0.5555555555555556
2017-01-05-18,0.13368391524167272,0.13297602534294128,0.2854149043560028,0.22066935896873474,0.5555555555555556
2017-01-05-19,0.08911824590246292,0.06583976000547409,0.20398470759391785,0.15277314186096191,0.4444444444444444
2017-01-05-20,0.06179939097160041,0.05157892778515816,0.15308190882205963,0.10515233129262924,0.3333333333333333
2017-01-05-21,0.049798657535869845,0.04318490996956825,0.11976198107004166,0.08604251593351364,0.2222222222222222
2017-01-05-22,0.04199445673766658,0.030507443472743034,0.09918875992298126,0.08621916174888611,0.0
2017-01-05-23,0.03287367919411085,0.019547760486602783,0.08675572276115417,0.0639774352312088,0.0
2017-01-06-00,0.026963009553421145,0.011539667844772339,0.0762423723936081,0.05537329614162445,0.0
2017-01-06-01,0.02327289136541009,0.00855552963912487,0.07179419696331024,0.04753510281443596,0.0
2017-01-06-02,0.020580418688749727,0.006237998604774475,0.06833113729953766,0.041896477341651917,0.0
2017-01-06-03,0.018913239383360737,0.0036656856536865234,0.06712228059768677,0.03840401768684387,0.0
2017-01-06-04,0.017292227971916915,0.002423301339149475,0.06421469151973724,0.03498047590255737,0.0
2017-01-06-05,0.014520719533435329,0.0014016404747962952,0.047206878662109375,0.03495439887046814,0.0
2017-01-06-06,0.012322337707687146,0.0005634501576423645,0.03486592322587967,0.03353040665388107,0.0
2017-01-06-07,0.013639935245416126,0.00021327286958694458,0.05094427615404129,0.028940849006175995,0.0
2017-01-06-08,0.01016321211190968,0.0,0.03905128687620163,0.020480714738368988,0.0
2017-01-06-09,0.009582010621933605,0.0,0.04021916538476944,0.013981945812702179,0.0
2017-01-06-10,0.009779965560722479,0.00028219074010849,0.039373524487018585,0.012859702110290527,0.0
2017-01-06-11,0.009499334463180053,0.0003771856427192688,0.03428757190704346,0.012986361980438232,0.0
2017-01-06-12,0.007608544529786673,0.0003771856427192688,0.0284598208963871,0.012060161679983139,0.0
2017-01-06-13,0.005698793123624966,0.00037159770727157593,0.0212937593460083,0.009946059435606003,0.0
2017-01-06-14,0.003722224282956654,0.00014086253941059113,0.01488695852458477,0.005124369636178017,0.0
2017-01-06-15,0.0019378893901407645,0.0,0.008770497515797615,0.00095367431640625,0.0
2017-01-06-16,0.0010087434338341686,0.0,0.004312722012400627,0.0009431969374418259,0.0
2017-01-06-17,0.0005726032347032442,0.0,0.0023222528398036957,0.00037730205804109573,0.0
2017-01-06-18,0.0002799676191697875,0.0,0.0014331599231809378,0.0,0.0
2017-01-06-19,0.0007852877142642776,0.0,0.005484442226588726,0.0,0.0
2017-01-06-20,0.00044232998118283706,0.0,0.00350497430190444,0.0,0.0
2017-01-06-21,0.0003468432362993436,0.0,0.0024303444661200047,0.00024639302864670753,0.0
2017-01-06-22,0.00031336013041725837,0.0,0.0018081627786159515,0.00024639302864670753,0.0
