time,humidity_mean,humidity_median,humidity_max,humidity_p75
2017-01-04-22,96.01598358154297,94.64312744140625,100.42852783203125,100.08258056640625
2017-01-04-23,96.22371673583984,94.933349609375,100.082275390625,99.701416015625
2017-01-05-00,96.40028381347656,95.558837890625,99.7169189453125,99.06396484375
2017-01-05-01,96.77645111083984,97.01133728027344,99.04051208496094,98.69053649902344
2017-01-05-02,96.86422729492188,96.71800231933594,99.00779724121094,98.05015563964844
2017-01-05-03,96.99127197265625,96.66300964355469,98.86595153808594,97.64207458496094
2017-01-05-04,97.09446716308594,96.92745971679688,99.51242065429688,97.43801879882812
2017-01-05-05,96.93375396728516,96.63133239746094,100.15782165527344,97.28929138183594
2017-01-05-06,96.70071411132812,96.666259765625,99.9708251953125,96.9468994140625
2017-01-05-07,96.18460083007812,96.75906372070312,100.30581665039062,97.01113891601562
2017-01-05-08,95.33353424072266,96.72573852539062,100.60025024414062,97.05947875976562
2017-01-05-09,94.53900909423828,95.83189392089844,100.78648376464844,96.58921813964844
2017-01-05-10,92.67306518554688,94.32492065429688,100.43795776367188,95.65402221679688
2017-01-05-11,91.58661651611328,93.53236389160156,101.31898498535156,94.14125061035156
2017-01-05-12,89.08073425292969,90.50309753417969,99.59538269042969,91.20573425292969
2017-01-05-13,87.77919006347656,87.95372009277344,98.06895446777344,90.17588806152344
2017-01-05-14,86.8970718383789,86.73490905761719,95.75004577636719,90.47123718261719
2017-01-05-15,85.1137466430664,85.31828308105469,93.17106628417969,89.99479675292969
2017-01-05-16,82.33797454833984,83.01657104492188,92.29293823242188,88.87936401367188
2017-01-05-17,78.6471939086914,78.09321594238281,89.52241516113281,84.77925109863281
2017-01-05-18,76.76919555664062,76.93814086914062,86.05923461914062,81.26724243164062
2017-01-05-19,76.18995666503906,75.34959411621094,84.37669372558594,80.05369567871094
2017-01-05-20,76.84323120117188,75.76231384277344,83.56040954589844,79.92759704589844
2017-01-05-21,78.09976196289062,77.67942810058594,84.36448669433594,80.75804138183594
2017-01-05-22,81.09884643554688,81.27619934082031,87.18049621582031,84.55134582519531
2017-01-05-23,82.40150451660156,82.81399536132812,88.87747192382812,85.96389770507812
