time,temp_mean,temp_median,temp_max,temp_p75
2015-01-14-09,-11.22007942199707,-9.449249267578125,-3.783721923828125,-7.634307861328125
2015-01-14-12,-11.631800651550293,-11.233123779296875,-4.295135498046875,-8.552703857421875
2015-01-14-15,-13.029010772705078,-12.891510009765625,-7.424468994140625,-8.329498291015625
2015-01-14-18,-12.91030216217041,-12.436614990234375,-7.245452880859375,-8.528900146484375
2015-01-14-21,-14.829066276550293,-13.480194091796875,-9.669403076171875,-10.805389404296875
2015-01-15-00,-14.22674560546875,-12.78436279296875,-5.90838623046875,-9.42742919921875
2015-01-15-03,-11.949207305908203,-10.414154052734375,-2.454681396484375,-7.218841552734375
2015-01-15-06,-11.308353424072266,-9.582550048828125,-2.436065673828125,-6.211944580078125
2015-01-15-09,-11.315723419189453,-9.944732666015625,-3.922271728515625,-6.176177978515625
2015-01-15-12,-11.486555099487305,-11.641693115234375,-3.512542724609375,-7.725433349609375
2015-01-15-15,-9.336946487426758,-10.297393798828125,-0.890655517578125,-4.989288330078125
2015-01-15-18,-8.694671630859375,-8.873382568359375,-0.366546630859375,-4.648773193359375
2015-01-15-21,-8.81082534790039,-8.48150634765625,-0.48101806640625,-3.74566650390625
2015-01-16-00,-8.62248706817627,-8.791351318359375,-1.251312255859375,-3.467864990234375
2015-01-16-03,-6.761186599731445,-7.448822021484375,0.281402587890625,-0.580657958984375
2015-01-16-06,-7.363508224487305,-7.217376708984375,-0.188079833984375,-4.561614990234375
2015-01-16-09,-6.780392169952393,-6.704193115234375,0.448638916015625,-2.583343505859375
2015-01-16-12,-8.123355865478516,-7.711273193359375,-2.576995849609375,-5.650726318359375
2015-01-16-15,-6.82572078704834,-5.071868896484375,-0.663665771484375,-4.433441162109375
2015-01-16-18,-7.735687255859375,-7.448822021484375,-1.628509521484375,-5.497650146484375
2015-01-16-21,-8.871673583984375,-8.308441162109375,-2.953948974609375,-5.187591552734375
2015-01-17-00,-7.743011474609375,-6.648529052734375,-1.074066162109375,-4.129974365234375
2015-01-17-03,-7.775997638702393,-7.369232177734375,-1.109954833984375,-3.219573974609375
2015-01-17-06,-8.58681583404541,-8.163177490234375,-1.719573974609375,-3.497894287109375
2015-01-17-09,-10.878400802612305,-10.528900146484375,-5.885101318359375,-6.403411865234375
2015-01-17-12,-12.241902351379395,-11.7586669921875,-7.9122314453125,-8.4627685546875
2015-01-17-15,-13.36780834197998,-13.329315185546875,-9.500457763671875,-10.271697998046875
2015-01-17-18,-14.04914665222168,-13.73114013671875,-11.04998779296875,-11.77630615234375
2015-01-17-21,-13.47181510925293,-13.432403564453125,-9.227813720703125,-10.587432861328125
2015-01-18-00,-12.76324462890625,-13.030364990234375,-7.566741943359375,-8.964202880859375
2015-01-18-03,-13.96605110168457,-14.7969970703125,-8.1021728515625,-9.7781982421875
2015-01-18-06,-13.699225425720215,-13.41705322265625,-8.87310791015625,-10.15411376953125
2015-01-18-09,-14.748443603515625,-13.676605224609375,-10.876678466796875,-12.486907958984375
2015-01-18-12,-15.410003662109375,-14.176422119140625,-11.355377197265625,-12.746978759765625
2015-01-18-15,-15.592267990112305,-14.090118408203125,-10.825225830078125,-12.504425048828125
