time,tcc_mean,tcc_median,tcc_max,tcc_p75
2015-01-02-17,0.1040988489985466,0.04326629638671875,0.49463653564453125,0.0784759521484375
2015-01-02-18,0.013689624145627022,0.017728805541992188,0.024485111236572266,0.02219390869140625
2015-01-02-19,0.006939040496945381,0.0,0.03133678436279297,0.015046119689941406
2015-01-02-20,0.0033003489952534437,0.0,0.024377822875976562,0.0017848014831542969
2015-01-02-21,0.007680999115109444,0.0,0.05216217041015625,0.006957054138183594
2015-01-02-22,0.009467761032283306,0.0,0.06133556365966797,0.006957054138183594
2015-01-02-23,0.01250373013317585,0.0,0.06079387664794922,0.01873016357421875
2015-01-03-00,0.014463000930845737,0.0,0.07241630554199219,0.020849227905273438
2015-01-03-01,0.015716340392827988,0.0,0.06748390197753906,0.019989013671875
2015-01-03-02,0.014303207397460938,0.0,0.05437660217285156,0.025887489318847656
2015-01-03-03,0.00818777084350586,0.0,0.02619791030883789,0.023610591888427734
2015-01-03-04,0.005556159652769566,0.0,0.020870685577392578,0.0116729736328125
2015-01-03-05,0.002995093585923314,0.0,0.013906717300415039,0.006092071533203125
2015-01-03-06,0.0,0.0,0.0,0.0
2015-01-03-07,0.0009720590314827859,0.0,0.006963968276977539,0.0
2015-01-03-08,0.0,0.0,0.0,0.0
2015-01-03-09,0.0,0.0,0.0,0.0
2015-01-03-10,0.0,0.0,0.0,0.0
2015-01-03-11,0.0,0.0,0.0,0.0
2015-01-03-12,0.0,0.0,0.0,0.0
2015-01-03-13,0.0,0.0,0.0,0.0
2015-01-03-14,0.0,0.0,0.0,0.0
2015-01-03-15,0.0,0.0,0.0,0.0
2015-01-03-16,0.0,0.0,0.0,0.0
2015-01-03-17,0.0,0.0,0.0,0.0
2015-01-03-18,0.0,0.0,0.0,0.0
2015-01-03-19,0.0,0.0,0.0,0.0
2015-01-03-20,0.0,0.0,0.0,0.0
2015-01-03-21,0.0,0.0,0.0,0.0
2015-01-03-22,0.1421169638633728,0.0,0.5160369873046875,0.3250274658203125
2015-01-03-23,0.05275895819067955,0.0,0.30541229248046875,0.0094451904296875
2015-01-04-00,0.020586226135492325,0.0,0.13016128540039062,0.003505706787109375
2015-01-04-01,0.014156553894281387,0.0,0.07065200805664062,0.0
2015-01-04-02,0.004014121368527412,0.0,0.03612709045410156,0.0
2015-01-04-03,0.0,0.0,0.0,0.0
2015-01-04-04,0.0,0.0,0.0,0.0
2015-01-04-05,0.0,0.0,0.0,0.0
2015-01-04-06,0.0,0.0,0.0,0.0
2015-01-04-07,0.03284623846411705,0.0,0.29561614990234375,0.0
2015-01-04-08,0.0036126242484897375,0.0,0.03251361846923828,0.0
2015-01-04-09,0.0003287858562543988,0.0,0.0029590725898742676,0.0
2015-01-04-10,0.0609978586435318,0.0,0.548980712890625,0.0
2015-01-04-11,0.02213456854224205,0.0,0.19921112060546875,0.0
2015-01-04-12,0.014925639145076275,0.0,0.13433074951171875,0.0
2015-01-04-13,0.0026228162460029125,0.0,0.0236053466796875,0.0
2015-01-04-14,0.003440168220549822,0.0,0.03096151351928711,0.0
2015-01-04-15,0.0009853574447333813,0.0,0.008868217468261719,0.0
2015-01-04-16,0.004270235542207956,0.0,0.03843212127685547,0.0
2015-01-04-17,0.004186524078249931,0.0,0.03767871856689453,0.0
2015-01-04-18,0.00311681954190135,0.0,0.028051376342773438,0.0
2015-01-04-19,0.0005739397602155805,0.0,0.005165457725524902,0.0
2015-01-04-20,0.006067382171750069,0.0,0.05460643768310547,0.0
2015-01-04-21,0.011301888152956963,0.0,0.09374237060546875,0.0
