time,tcc_mean,tcc_median,tcc_max,tcc_p75
2018-04-13-00,0.1199323832988739,0.050933837890625,0.45424652099609375,0.20208740234375
2018-04-13-03,0.029550764709711075,0.00707244873046875,0.13761520385742188,0.022525787353515625
2018-04-13-06,0.2042134553194046,0.1552581787109375,0.5267181396484375,0.333953857421875
2018-04-13-09,0.5498691201210022,0.7468719482421875,0.908233642578125,0.8167266845703125
2018-04-13-12,0.7427720427513123,0.8334329724311829,0.9948404431343079,0.9918802380561829
2018-04-13-15,0.6115759611129761,0.7440223097801208,1.000003695487976,0.9899939894676208
2018-04-13-18,0.7192275524139404,0.9705771207809448,0.9999960660934448,0.9999960660934448
2018-04-13-21,0.8581565618515015,0.991873562335968,0.9999988675117493,0.9999988675117493
2018-04-14-00,0.8576710224151611,0.885297954082489,0.995527446269989,0.9899885058403015
2018-04-14-03,0.6173239946365356,0.8884082436561584,0.999995768070221,0.984767496585846
2018-04-14-06,0.6028916835784912,0.7815364599227905,0.9964412450790405,0.9819453954696655
2018-04-14-09,0.5610595345497131,0.8124209642410278,0.9869509935379028,0.9237643480300903
2018-04-14-12,0.2919294536113739,0.2297210693359375,0.63385009765625,0.5352325439453125
2018-04-14-15,0.5185173749923706,0.5978935956954956,0.9791496992111206,0.8501976728439331
2018-04-14-18,0.6028719544410706,0.6427143216133118,0.9363849759101868,0.8839710354804993
2018-04-14-21,0.5280507206916809,0.5125274658203125,0.941741943359375,0.79010009765625
2018-04-15-00,0.2410312294960022,0.107818603515625,0.7988433837890625,0.4983673095703125
2018-04-15-03,0.1633249968290329,0.002532958984375,0.5817413330078125,0.3059539794921875
2018-04-15-06,0.07948896288871765,0.00188446044921875,0.434783935546875,0.12535858154296875
2018-04-15-09,0.06607479602098465,0.0094146728515625,0.337249755859375,0.08200836181640625
2018-04-15-12,0.054804906249046326,0.01318359375,0.23777008056640625,0.08152008056640625
2018-04-15-15,0.045433469116687775,0.017734527587890625,0.2107696533203125,0.04473114013671875
2018-04-15-18,0.008974392898380756,0.005650043487548828,0.03039836883544922,0.007968425750732422
2018-04-15-21,0.0008440944948233664,0.0,0.007596850395202637,0.0
2018-04-16-00,0.0,0.0,0.0,0.0
2018-04-16-03,0.0,0.0,0.0,0.0
2018-04-16-06,0.0,0.0,0.0,0.0
2018-04-16-09,0.0,0.0,0.0,0.0
2018-04-16-12,0.0,0.0,0.0,0.0
2018-04-16-15,0.0,0.0,0.0,0.0
2018-04-16-18,0.0,0.0,0.0,0.0
2018-04-16-21,0.0,0.0,0.0,0.0
2018-04-17-00,0.2296295166015625,0.0,0.8489227294921875,0.5305938720703125
2018-04-17-03,0.3426615297794342,0.0916748046875,0.9154510498046875,0.791656494140625
2018-04-17-06,0.005778312683105469,0.0,0.02665996551513672,0.0018854141235351562
2018-04-17-09,0.0008305443916469812,0.0,0.0074748992919921875,0.0
2018-04-17-12,0.0,0.0,0.0,0.0
2018-04-17-15,0.0,0.0,0.0,0.0
2018-04-17-18,0.0,0.0,0.0,0.0
2018-04-17-21,0.0,0.0,0.0,0.0
2018-04-18-00,0.0,0.0,0.0,0.0
2018-04-18-03,0.0,0.0,0.0,0.0
2018-04-18-06,0.0,0.0,0.0,0.0
2018-04-18-09,0.0,0.0,0.0,0.0
2018-04-18-12,0.0,0.0,0.0,0.0
2018-04-18-15,0.0,0.0,0.0,0.0
2018-04-18-18,0.0,0.0,0.0,0.0
2018-04-18-21,0.02231258898973465,0.0,0.20081329345703125,0.0
2018-04-19-00,0.0,0.0,0.0,0.0
2018-04-19-03,0.04507361352443695,0.0,0.2744140625,0.01483917236328125
2018-04-19-06,0.0216250941157341,0.0,0.1483306884765625,0.012203216552734375
2018-04-19-09,0.0158869419246912,0.002040863037109375,0.06457710266113281,0.012201309204101562
2018-04-19-12,0.2648807466030121,0.04377581551671028,0.7987654209136963,0.6241285800933838
2018-04-19-15,0.4956546425819397,0.589874267578125,0.952972412109375,0.875640869140625
2018-04-19-18,0.4676157534122467,0.493743896484375,0.9367218017578125,0.9115142822265625
2018-04-19-21,0.6084334850311279,0.8336549401283264,0.9125428795814514,0.8946900963783264
2018-04-20-00,0.6342306137084961,0.7641524076461792,0.9762343168258667,0.8783034086227417
2018-04-20-03,0.8867069482803345,0.9434602856636047,0.9725435376167297,0.9700029492378235
2018-04-20-06,0.9498074054718018,0.9730236530303955,0.9800121784210205,0.9770252704620361
2018-04-20-09,0.9043734669685364,0.9974640011787415,0.9999969601631165,0.9999969601631165
2018-04-20-12,0.8794734477996826,0.9930352568626404,1.0000009536743164,0.9974526762962341
2018-04-20-15,0.9272252321243286,0.9927862882614136,1.000003695487976,0.9948309659957886
2018-04-20-18,0.9724723100662231,1.000001311302185,1.000001311302185,1.000001311302185
2018-04-20-21,0.9817944765090942,0.9989944696426392,1.0000015497207642,1.0000015497207642
2018-04-21-00,0.9990760087966919,1.0000001192092896,1.0000001192092896,1.0000001192092896
2018-04-21-03,0.9977349042892456,1.0,1.0,1.0
2018-04-21-06,0.9916658401489258,0.9903401732444763,0.9999999403953552,0.9959525465965271
2018-04-21-09,0.9964447021484375,1.0,1.0,1.0
2018-04-21-12,0.9798939824104309,0.9850749969482422,0.999847412109375,0.9918756484985352
2018-04-21-15,0.9587748050689697,0.97206050157547,0.9925339818000793,0.9767106175422668
2018-04-21-18,0.933283269405365,0.9321028590202332,0.9929282069206238,0.9761015772819519
2018-04-21-21,0.6109261512756348,0.5525850057601929,0.9693330526351929,0.6803163290023804
2018-04-22-00,0.4045286774635315,0.3050616979598999,0.9546893835067749,0.4787067174911499
2018-04-22-03,0.1732063591480255,0.0956781655550003,0.5417230725288391,0.17231543362140656
2018-04-22-06,0.17998440563678741,0.03329998999834061,0.72153240442276,0.200872004032135
2018-04-22-09,0.0556928850710392,0.00707244873046875,0.35052490234375,0.01592254638671875
2018-04-22-12,0.09226735681295395,0.05722808837890625,0.368194580078125,0.06874847412109375
2018-04-22-15,0.04652892053127289,0.048971179872751236,0.1309528350830078,0.05485725775361061
2018-04-22-18,0.0337253138422966,0.039398193359375,0.06705093383789062,0.05794715881347656
2018-04-22-21,0.02041117288172245,0.015245437622070312,0.08547401428222656,0.018285751342773438
2018-04-23-00,0.1584320068359375,0.00421142578125,0.6652069091796875,0.2610321044921875
2018-04-23-03,0.2077619731426239,0.01177978515625,0.893402099609375,0.2277069091796875
