date_slot,mean,median,max,origin
2012-01-15-14,0.0,0.0,0.0,0
2012-01-15-16,0.0,0.0,0.0,0
2012-01-15-17,0.0,0.0,0.0,0
2012-01-15-19,0.0,0.0,0.0,0
2012-01-15-21,0.0,0.0,0.0,0
2012-01-15-22,0.0,0.0,0.0,0
2012-01-16-00,0.0,0.0,0.0,0
2012-01-16-02,3.45,3.45,3.45,0
2012-01-16-03,0.0,0.0,0.0,0
2012-01-16-05,0.0,0.0,0.0,0
2012-01-16-07,0.0,0.0,0.0,0
2012-01-16-09,0.0,0.0,0.0,0
2012-01-16-10,0.0,0.0,0.0,0
2012-01-16-12,0.0,0.0,0.0,0
2012-01-16-14,0.0,0.0,0.0,0
2012-01-16-16,2725.03,2989.38,3589.87,0
2012-01-16-17,0.0,0.0,0.0,0
2012-01-16-23,0.0,0.0,0.0,0
2012-01-17-02,0.0,0.0,0.0,0
2012-01-17-03,0.0,0.0,0.0,0
2012-01-17-05,0.0,0.0,0.0,0
2012-01-17-07,0.0,0.0,0.0,0
2012-01-17-08,0.0,0.0,0.0,0
2012-01-17-10,0.0,0.0,0.0,0
2012-01-17-12,0.0,0.0,0.0,0
2012-01-17-14,0.0,0.0,0.0,0
2012-01-17-15,0.0,0.0,0.0,0
2012-01-17-17,0.0,0.0,0.0,0
2012-01-17-19,0.0,0.0,0.0,0
2012-01-17-20,0.0,0.0,0.0,0
2012-01-17-22,0.0,0.0,0.0,0
2012-01-17-23,0.0,0.0,0.0,0
2012-01-18-03,0.0,0.0,0.0,0
2012-01-18-05,0.0,0.0,0.0,0
2012-01-18-06,0.0,0.0,0.0,0
2012-01-18-08,0.0,0.0,0.0,0
2012-01-18-10,0.0,0.0,0.0,0
2012-01-18-12,0.0,0.0,0.0,0
2012-01-18-17,0.0,0.0,0.0,0
2012-01-18-18,0.0,0.0,0.0,0
2012-01-18-20,0.0,0.0,0.0,0
2012-01-18-22,0.0,0.0,0.0,0
2012-01-18-23,0.0,0.0,0.0,0
2012-01-19-03,0.0,0.0,0.0,0
2012-01-19-04,0.0,0.0,0.0,0
2012-01-19-06,0.0,0.0,0.0,0
2012-01-19-08,0.0,0.0,0.0,0
2012-01-19-10,0.0,0.0,0.0,0
2012-01-19-11,0.0,0.0,0.0,0
2012-01-19-13,0.0,0.0,0.0,0
2012-01-19-15,0.0,0.0,0.0,0
2012-01-19-17,0.0,0.0,0.0,0
2012-01-19-18,0.0,0.0,0.0,0
2012-01-19-20,0.0,0.0,0.0,0
2012-01-19-22,0.0,0.0,0.0,0
2012-01-19-23,0.0,0.0,0.0,0
2012-01-20-00,0.0,0.0,0.0,0
2012-01-20-01,0.0,0.0,0.0,0
2012-01-20-04,0.0,0.0,0.0,0
2012-01-20-07,137.67,142.36,227.82,1
2012-01-20-08,0.0,0.0,0.0,0
2012-01-20-09,0.0,0.0,0.0,0
2012-01-20-11,0.0,0.0,0.0,0
2012-01-20-13,0.0,0.0,0.0,0
2012-01-20-15,0.0,0.0,0.0,0
2012-01-20-16,0.0,0.0,0.0,0
2012-01-20-18,0.0,0.0,0.0,0
2012-01-20-20,0.0,0.0,0.0,0
2012-01-20-21,0.0,0.0,0.0,0
2012-01-20-23,0.0,0.0,0.0,0
2012-01-21-00,0.0,0.0,0.0,0
2012-01-21-01,0.0,0.0,0.0,0
2012-01-21-02,0.0,0.0,0.0,0
2012-01-21-04,0.0,0.0,0.0,0
2012-01-21-06,0.0,0.0,0.0,0
2012-01-21-07,0.0,0.0,0.0,0
2012-01-21-09,0.0,0.0,0.0,0
2012-01-21-13,0.0,0.0,0.0,0
2012-01-21-14,0.0,0.0,0.0,0
2012-01-21-16,0.0,0.0,0.0,0
2012-01-21-18,0.0,0.0,0.0,0
2012-01-21-20,0.0,0.0,0.0,0
2012-01-21-21,0.0,0.0,0.0,0
2012-01-21-23,0.0,0.0,0.0,0
2012-01-22-00,0.0,0.0,0.0,0
2012-01-22-02,0.0,0.0,0.0,0
2012-01-22-04,0.0,0.0,0.0,0
2012-01-22-06,0.0,0.0,0.0,0
2012-01-22-07,0.0,0.0,0.0,0
2012-01-22-09,0.0,0.0,0.0,0
2012-01-22-11,0.0,0.0,0.0,0
2012-01-22-13,2749.21,2663.51,4001.76,0
2012-01-22-14,2573.48,2851.93,3522.98,0
2012-01-22-16,0.0,0.0,0.0,0
2012-01-22-18,0.0,0.0,0.0,0
2012-01-22-19,0.0,0.0,0.0,0
2012-01-22-21,0.0,0.0,0.0,0
2012-01-22-23,0.0,0.0,0.0,0
2012-01-23-00,0.0,0.0,0.0,0
2012-01-23-02,0.0,0.0,0.0,0
2012-01-23-04,0.0,0.0,0.0,0
2012-01-23-05,0.0,0.0,0.0,0
2012-01-23-07,0.0,0.0,0.0,0
2012-01-23-09,0.0,0.0,0.0,0
2012-01-23-11,0.0,0.0,0.0,0
2012-01-23-12,0.0,0.0,0.0,0
2012-01-23-17,0.0,0.0,0.0,0
2012-01-23-21,0.0,0.0,0.0,0
2012-01-23-22,0.0,0.0,0.0,0
2012-01-24-02,0.0,0.0,0.0,0
2012-01-24-03,0.0,0.0,0.0,0
2012-01-24-05,0.0,0.0,0.0,0
2012-01-24-07,0.0,0.0,0.0,0
2012-01-24-10,7560.94,7962.28,10789.92,1
2012-01-24-12,0.0,0.0,0.0,0
2012-01-24-14,0.0,0.0,0.0,0
2012-01-24-16,0.0,0.0,0.0,0
2012-01-24-17,0.0,0.0,0.0,0
2012-01-24-19,0.0,0.0,0.0,0
2012-01-24-21,0.0,0.0,0.0,0
2012-01-24-22,0.0,0.0,0.0,0
2012-01-24-23,0.0,0.0,0.0,0
2012-01-25-02,0.0,0.0,0.0,0
2012-01-25-03,0.0,0.0,0.0,0
