mean,median,max,time
69.56,69.28,231.14,2013-01-20 09:00:00
30.69,30.34,79.88,2013-01-20 12:00:00
15.75,16.91,26.68,2013-01-21 03:00:00
18.0,20.23,223.89,2013-01-21 06:00:00
28.41,24.06,192.37,2013-01-21 09:00:00
22.45,17.18,129.12,2013-01-21 12:00:00
19.11,16.02,248.62,2013-01-23 06:00:00
16.95,16.79,35.41,2013-01-25 03:00:00
25.1,16.53,164.61,2013-01-25 12:00:00
23.5,24.11,70.89,2013-01-26 03:00:00
136.09,136.46,249.07,2013-01-26 12:00:00
105.53,101.61,249.07,2013-01-26 15:00:00
21.83,23.13,41.06,2013-01-27 03:00:00
35.82,34.58,248.96,2013-01-27 12:00:00
25.17,18.78,130.76,2013-01-27 15:00:00
20.28,18.91,186.19,2013-01-28 09:00:00
32.52,25.71,248.62,2013-01-28 12:00:00
26.23,24.13,123.52,2013-01-28 15:00:00
21.21,16.74,207.76,2013-01-29 09:00:00
28.1,22.67,248.39,2013-01-29 12:00:00
21.89,25.24,55.8,2013-01-29 15:00:00
16.61,18.09,34.34,2013-01-30 09:00:00
16.39,17.16,31.8,2013-01-30 12:00:00
34.47,23.12,114.98,2013-02-01 09:00:00
52.61,48.14,141.53,2013-02-01 12:00:00
26.14,27.19,248.39,2013-02-01 15:00:00
33.83,34.43,218.42,2013-02-02 06:00:00
92.2,87.27,249.07,2013-02-02 09:00:00
24.27,18.1,110.33,2013-02-02 12:00:00
30.52,31.97,90.74,2013-02-02 15:00:00
26.9,17.48,132.19,2013-02-03 12:00:00
36.19,23.66,171.87,2013-02-07 06:00:00
39.24,30.07,218.31,2013-02-07 09:00:00
65.97,64.28,202.33,2013-02-07 12:00:00
30.55,27.77,133.19,2013-02-08 06:00:00
115.49,109.64,224.94,2013-02-08 12:00:00
31.56,31.24,99.85,2013-02-08 15:00:00
23.87,21.59,97.01,2013-02-10 06:00:00
41.61,25.17,247.28,2013-02-13 09:00:00
61.0,43.46,242.66,2013-02-14 06:00:00
104.07,98.18,248.73,2013-02-14 09:00:00
95.25,93.86,205.34,2013-02-14 12:00:00
41.95,25.41,205.09,2013-02-14 15:00:00
26.53,16.71,185.67,2013-02-16 09:00:00
16.57,16.31,127.28,2013-02-17 06:00:00
53.47,47.98,249.07,2013-02-17 09:00:00
92.01,90.21,228.46,2013-02-17 12:00:00
43.05,35.75,189.39,2013-02-17 15:00:00
15.58,16.02,25.39,2013-02-18 06:00:00
39.39,27.59,242.35,2013-02-19 09:00:00
67.58,60.09,237.66,2013-02-19 12:00:00
23.32,17.5,248.96,2013-02-20 06:00:00
74.54,67.06,240.7,2013-02-20 09:00:00
65.3,51.92,247.82,2013-02-20 12:00:00
17.61,20.62,31.78,2013-02-21 09:00:00
98.07,100.57,249.07,2013-02-22 09:00:00
116.08,115.14,244.14,2013-02-22 12:00:00
17.93,17.32,46.42,2013-02-23 06:00:00
71.78,31.32,248.73,2013-02-23 09:00:00
52.46,39.04,200.22,2013-02-23 12:00:00
84.02,88.5,249.07,2013-02-24 09:00:00
28.18,23.39,183.9,2013-02-24 12:00:00
13.39,15.07,94.75,2013-02-25 03:00:00
19.74,21.26,39.49,2013-02-25 06:00:00
78.78,83.42,248.73,2013-02-26 12:00:00
22.36,17.34,216.96,2013-02-27 09:00:00
20.63,17.34,248.62,2013-02-27 12:00:00
43.19,34.56,247.36,2013-02-28 09:00:00
40.18,26.75,248.39,2013-02-28 12:00:00
58.76,47.42,249.07,2013-03-01 06:00:00
138.57,139.78,249.07,2013-03-01 09:00:00
26.43,26.97,63.89,2013-03-01 12:00:00
18.69,18.19,207.51,2013-03-02 12:00:00
31.45,21.35,232.57,2013-03-03 09:00:00
44.22,18.45,246.31,2013-03-07 09:00:00
33.48,24.29,222.42,2013-03-09 09:00:00
42.67,37.21,231.41,2013-03-09 12:00:00
27.38,15.44,183.93,2013-03-12 12:00:00
46.17,39.29,243.71,2013-03-15 06:00:00
38.39,19.32,236.53,2013-03-15 09:00:00
47.57,35.1,242.0,2013-03-16 06:00:00
45.13,36.88,198.68,2013-03-16 09:00:00
22.62,20.09,177.33,2013-03-16 12:00:00
80.58,72.42,249.07,2013-03-17 06:00:00
124.22,118.51,249.07,2013-03-17 09:00:00
122.87,123.81,249.07,2013-03-17 12:00:00
44.68,36.85,214.5,2013-03-20 12:00:00
53.1,45.26,249.07,2013-03-21 06:00:00
23.02,22.39,97.75,2013-03-21 09:00:00
53.38,48.01,138.46,2013-03-23 09:00:00
40.82,33.53,127.99,2013-03-23 12:00:00
24.32,19.63,249.07,2013-03-24 06:00:00
67.12,60.62,248.84,2013-03-24 09:00:00
20.35,16.12,220.95,2013-03-24 12:00:00
37.22,28.56,240.15,2013-03-27 06:00:00
28.25,15.78,236.33,2013-03-28 06:00:00
94.6,93.52,240.68,2013-03-28 09:00:00
19.05,15.25,248.96,2013-03-28 12:00:00
118.44,110.97,247.48,2013-03-29 06:00:00
133.92,129.25,249.07,2013-03-29 09:00:00
20.3,18.49,199.13,2013-03-30 06:00:00
39.65,32.09,230.18,2013-03-30 09:00:00
44.58,37.04,201.4,2013-04-01 09:00:00
21.48,15.91,106.95,2013-04-01 12:00:00
38.86,28.3,215.69,2013-04-04 09:00:00
43.63,18.75,219.79,2013-04-07 12:00:00
37.87,21.42,238.81,2013-04-11 09:00:00
52.16,35.78,249.07,2013-04-14 06:00:00
62.48,36.62,240.68,2013-04-14 09:00:00
37.96,15.8,248.16,2013-04-20 09:00:00
33.98,22.39,248.96,2013-04-23 09:00:00
