segment,mean,median,max
2015-01-12-0,0.00,0.00,0.00
2015-01-12-1,1.73,0.00,33.08
2015-01-12-2,13.47,12.03,32.72
2015-01-12-3,4.77,5.06,20.29
2015-01-12-4,3.85,4.46,20.60
2015-01-12-5,4.21,4.47,15.46
2015-01-12-6,5.44,5.66,12.46
2015-01-12-7,5.85,5.95,13.06
2015-01-12-8,4.28,4.45,10.10
2015-01-12-9,4.63,4.46,13.95
2015-01-12-10,11.95,10.80,57.56
2015-01-12-11,38.75,39.15,89.85
2015-01-12-12,91.38,91.99,198.21
2015-01-12-13,83.70,88.30,141.96
2015-01-12-14,80.57,82.91,148.70
2015-01-12-15,54.22,55.09,111.57
2015-01-12-16,40.83,43.32,78.01
2015-01-12-17,53.37,54.68,97.28
2015-01-12-18,4.74,0.00,97.50
2015-01-12-19,0.00,0.00,0.00
2015-01-12-20,0.00,0.00,0.00
2015-01-12-21,0.00,0.00,0.00
2015-01-12-22,0.00,0.00,0.00
2015-01-12-23,0.00,0.00,0.00
2015-01-13-0,0.00,0.00,0.00
2015-01-13-1,0.67,0.00,88.94
2015-01-13-2,17.44,17.14,238.92
2015-01-13-3,8.25,7.44,32.63
2015-01-13-4,6.73,5.36,33.21
2015-01-13-5,7.42,6.23,32.04
2015-01-13-6,8.69,7.40,34.98
2015-01-13-7,10.35,8.00,55.33
2015-01-13-8,10.54,7.71,61.19
2015-01-13-9,11.22,8.61,104.30
2015-01-13-10,13.70,9.20,190.94
2015-01-13-11,60.24,64.63,182.13
2015-01-13-12,83.11,86.57,221.90
2015-01-13-13,86.83,78.43,234.55
2015-01-13-14,84.29,79.53,206.18
2015-01-13-15,32.62,27.88,84.05
2015-01-13-16,19.86,18.07,160.24
2015-01-13-17,26.81,23.75,70.99
2015-01-13-18,5.24,0.00,69.40
2015-01-13-19,0.00,0.00,0.00
2015-01-13-20,0.00,0.00,0.00
2015-01-13-21,0.00,0.00,0.00
2015-01-13-22,0.00,0.00,0.00
2015-01-13-23,0.00,0.00,0.00
2015-01-14-0,0.00,0.00,0.00
2015-01-14-1,1.29,0.00,30.44
2015-01-14-2,14.63,13.50,33.08
2015-01-14-3,7.16,7.45,23.23
2015-01-14-4,6.08,6.53,23.53
2015-01-14-5,5.64,5.95,22.36
2015-01-14-6,7.32,7.43,23.82
2015-01-14-7,9.81,8.03,118.29
2015-01-14-8,13.98,9.48,120.99
2015-01-14-9,19.03,12.78,197.59
2015-01-14-10,61.10,54.59,223.83
2015-01-14-11,39.27,39.02,81.10
2015-01-14-12,41.70,40.44,94.13
2015-01-14-13,83.15,82.37,214.00
2015-01-14-14,46.30,42.05,156.00
2015-01-14-15,14.93,14.29,34.64
2015-01-14-16,9.19,9.80,24.46
2015-01-14-17,23.58,20.50,48.57
2015-01-14-18,2.04,0.00,37.84
2015-01-14-19,0.00,0.00,0.00
2015-01-14-20,0.00,0.00,0.00
2015-01-14-21,0.00,0.00,0.00
2015-01-14-22,0.00,0.00,0.00
2015-01-14-23,0.00,0.00,0.00
2015-01-15-0,0.00,0.00,0.00
2015-01-15-1,0.74,0.00,26.46
2015-01-15-2,15.89,14.62,37.95
2015-01-15-3,6.34,6.87,22.95
2015-01-15-4,3.93,3.88,22.95
2015-01-15-5,3.63,3.86,21.59
2015-01-15-6,6.93,7.44,22.95
2015-01-15-7,25.95,14.25,172.22
2015-01-15-8,54.84,47.80,238.58
2015-01-15-9,26.07,22.84,69.11
2015-01-15-10,14.81,12.77,63.82
2015-01-15-11,53.00,45.40,188.05
2015-01-15-12,51.27,51.56,107.66
2015-01-15-13,63.88,65.07,157.77
2015-01-15-14,67.93,69.36,145.26
2015-01-15-15,13.62,13.33,39.58
2015-01-15-16,11.65,12.47,27.64
2015-01-15-17,17.80,18.00,39.06
2015-01-15-18,0.29,0.00,23.76
2015-01-15-19,0.00,0.00,0.00
2015-01-15-20,0.00,0.00,0.00
2015-01-15-21,0.00,0.00,0.00
2015-01-15-22,0.00,0.00,0.00
2015-01-15-23,0.00,0.00,0.00
2015-01-16-0,0.00,0.00,0.00
2015-01-16-1,0.19,0.00,16.44
2015-01-16-2,16.82,13.80,43.06
2015-01-16-3,4.88,5.06,21.00
2015-01-16-4,7.32,7.74,21.18
2015-01-16-5,7.14,7.14,21.47
2015-01-16-6,10.44,9.19,41.47
2015-01-16-7,19.93,19.25,44.81
2015-01-16-8,10.17,10.38,21.76
2015-01-16-9,8.86,8.89,23.06
2015-01-16-10,32.53,27.47,158.88
2015-01-16-11,57.99,52.83,160.17
2015-01-16-12,52.74,48.59,166.29
