segment,mean,median,max
2020-02-15-21,0.00,0.00,0.00
2020-02-16-0,0.00,0.00,0.00
2020-02-16-3,7.80,3.68,215.67
2020-02-16-6,3.39,3.67,8.19
2020-02-16-9,3.00,3.08,23.54
2020-02-16-12,3.05,3.08,10.94
2020-02-16-15,7.45,3.38,149.32
2020-02-16-18,0.00,0.00,0.00
2020-02-16-21,0.00,0.00,0.00
2020-02-17-0,0.00,0.00,0.00
2020-02-17-3,7.31,3.39,53.42
2020-02-17-6,4.04,4.27,9.53
2020-02-17-9,3.22,3.27,17.23
2020-02-17-12,7.60,4.28,59.31
2020-02-17-15,12.71,10.47,152.25
2020-02-17-18,0.00,0.00,0.00
2020-02-17-21,0.00,0.00,0.00
2020-02-18-0,0.00,0.00,0.00
2020-02-18-3,12.78,6.17,218.61
2020-02-18-6,41.49,35.04,201.92
2020-02-18-9,40.55,37.10,138.69
2020-02-18-12,62.39,57.09,201.91
2020-02-18-15,70.99,56.57,235.34
2020-02-18-18,0.00,0.00,0.00
2020-02-18-21,0.00,0.00,0.00
2020-02-19-0,0.00,0.00,0.00
2020-02-19-3,14.20,14.88,42.82
2020-02-19-6,23.08,13.71,109.07
2020-02-19-9,33.48,27.69,145.47
2020-02-19-12,17.55,13.72,68.47
2020-02-19-15,6.73,1.79,52.19
2020-02-19-18,0.00,0.00,0.00
2020-02-19-21,0.00,0.00,0.00
2020-02-20-0,0.00,0.00,0.00
2020-02-20-3,5.94,3.98,33.57
2020-02-20-6,3.69,3.79,7.88
2020-02-20-9,23.90,7.57,108.11
2020-02-20-12,45.30,48.20,89.19
2020-02-20-15,12.20,2.58,51.33
2020-02-20-18,0.00,0.00,0.00
2020-02-20-21,0.00,0.00,0.00
2020-02-21-0,0.00,0.00,0.00
2020-02-21-3,11.01,8.63,124.07
2020-02-21-6,17.47,16.58,63.25
2020-02-21-9,53.36,32.88,220.59
2020-02-21-12,10.81,10.74,27.45
2020-02-21-15,8.27,0.00,51.97
2020-02-21-18,0.00,0.00,0.00
2020-02-21-21,0.00,0.00,0.00
2020-02-22-0,0.00,0.00,0.00
2020-02-22-3,7.50,3.68,58.31
2020-02-22-6,4.49,4.38,12.81
2020-02-22-9,9.88,8.93,36.16
2020-02-22-12,10.83,8.83,39.25
2020-02-22-15,13.34,0.00,70.20
2020-02-22-18,0.00,0.00,0.00
2020-02-22-21,0.00,0.00,0.00
2020-02-23-0,0.00,0.00,0.00
2020-02-23-3,6.21,2.79,52.91
2020-02-23-6,3.12,3.38,6.30
2020-02-23-9,3.92,4.15,22.30
2020-02-23-12,2.65,2.79,5.79
2020-02-23-15,8.78,0.00,136.26
2020-02-23-18,0.00,0.00,0.00
2020-02-23-21,0.00,0.00,0.00
2020-02-24-0,0.00,0.00,0.00
2020-02-24-3,7.25,4.09,203.34
2020-02-24-6,3.06,3.27,11.09
2020-02-24-9,2.26,2.31,22.66
2020-02-24-12,2.07,2.20,8.72
2020-02-24-15,7.16,0.00,158.71
2020-02-24-18,0.00,0.00,0.00
2020-02-24-21,0.00,0.00,0.00
2020-02-25-0,0.00,0.00,0.00
2020-02-25-3,6.39,3.50,127.89
2020-02-25-6,2.77,2.91,7.07
2020-02-25-9,2.50,2.67,24.46
2020-02-25-12,4.41,3.68,25.81
2020-02-25-15,8.21,0.00,203.34
2020-02-25-18,0.00,0.00,0.00
2020-02-25-21,0.00,0.00,0.00
2020-02-26-0,0.00,0.00,0.00
2020-02-26-3,7.40,3.68,222.71
2020-02-26-6,3.51,3.68,12.19
2020-02-26-9,2.78,2.91,19.91
2020-02-26-12,2.27,2.38,18.91
2020-02-26-15,7.13,0.00,203.93
2020-02-26-18,0.00,0.00,0.00
2020-02-26-21,0.00,0.00,0.00
2020-02-27-0,0.00,0.00,0.00
2020-02-27-3,6.84,3.39,218.02
2020-02-27-6,3.19,3.09,11.52
2020-02-27-9,29.57,28.24,78.83
2020-02-27-12,4.82,3.39,26.74
2020-02-27-15,7.24,0.00,219.78
2020-02-27-18,0.00,0.00,0.00
2020-02-27-21,0.00,0.00,0.00
2020-02-28-0,0.00,0.00,0.00
2020-02-28-3,6.75,3.09,223.00
2020-02-28-6,3.82,3.86,10.33
2020-02-28-9,6.96,6.64,23.07
2020-02-28-12,9.95,8.53,43.52
2020-02-28-15,7.03,0.00,215.67
2020-02-28-18,0.00,0.00,0.00
2020-02-28-21,0.00,0.00,0.00
2020-02-29-0,0.00,0.00,0.00
2020-02-29-3,7.38,4.39,223.89
2020-02-29-6,25.62,13.69,135.46
2020-02-29-9,66.92,56.73,214.75
2020-02-29-12,32.39,30.48,131.37
2020-02-29-15,35.04,0.00,229.16
2020-02-29-18,0.00,0.00,0.00
2020-02-29-21,0.00,0.00,0.00
2020-03-01-0,0.00,0.00,0.00
2020-03-01-3,7.89,6.31,37.19
2020-03-01-6,9.02,9.14,24.31
2020-03-01-9,20.08,20.40,48.69
2020-03-01-12,6.88,4.85,32.71
